Episode,D-PER-DDQN,PER-DDQN,MS-DDQN
196,235.0,13,-19.540954828481567
197,230.0,15,-17.568951586657057
198,212.72172342587547,10,-44.738204263768
199,230.0,17,-5.700000000000006
200,222.0,-7,-117.99596804499416
201,227.0,8,-9.800000000000004
202,235.0,-60,-43.27106230642877
203,235.0,17,-3.700000000000003
204,191.46360144323006,13,-37.277677519814574
205,220.0,16,-13.500000000000007
206,227.0,14,-20.400000000000006
207,222.0,15,-33.50000000000001
208,227.0,11,-51.314379246410994
209,209.0,6,-25.600000000000016
210,232.0,20,-22.62043056012439
211,172.0,17,-43.60000000000001
212,230.0,-79,-11.400000000000006
213,226.48807115839,-29,-13.400000000000006
214,214.0,15,-4.800000000000004
215,238.30650876122985,20,-18.500000000000007
216,234.62024821290964,-80,-40.49487870467489
217,224.6082796544928,16,-10.500000000000007
218,218.6658467953559,19,1.3999999999999986
219,231.11303839326132,13,-16.743835076856612
220,202.35687409643202,9,-13.912234857579982
221,236.4816063657183,-108,-30.700000000000017
222,203.0,-32,-55.42156295178398
223,227.0,15,-356.1715725117155
224,257.0879716048186,20,-56.580334382062205
225,222.0,13,-33.61223485757998
226,243.59046356478186,19,-49.69999999999999
227,219.0,20,-27.006339141601558
228,235.0,15,-3.668951586657059
229,244.62024821290964,13,-56.12249868934704
230,234.62024821290964,20,-4.200000000000006
231,219.0,15,-31.232632357972946
232,230.0,19,-36.100000000000016
233,216.99619432143413,10,-23.080334382062226
234,230.0,16,-38.313812651491105
235,219.0,19,-10.400000000000006
236,235.0,5,-125.94029475036348
237,235.0,16,-27.80000000000001
238,235.0,17,-174.34055012796412
239,230.0,-66,-10.400000000000006
240,133.87329596448103,16,-9.368951586657055
241,227.0,15,-14.900000000000006
242,235.0,20,-29.900000000000006
243,237.5685424949238,19,-13.300000000000004
244,225.0,18,-3.7000000000000064
245,228.835121610524,20,-12.900000000000006
246,225.0,12,-21.66067977499791
247,201.40953643521814,17,-32.00000000000001
248,223.6658467953559,20,-17.70000000000001
249,235.0,17,-2.004768217609076
250,245.0,-107,-2.700000000000003
251,185.23933123587557,17,-28.432423212173212
252,235.0,10,-18.087642950021703
253,226.82187475503903,16,-9.900000000000006
254,189.0,-61,-13.400000000000006
255,237.0,14,-12.000000000000007
256,222.0,8,-9.018022497574457
257,219.0,-452,-13.900000000000006
258,126.68852569494103,17,-39.80000000000001
259,230.0,15,-22.70000000000001
260,235.0,14,-27.60000000000001
261,219.0,20,-9.400000000000006
262,222.0,12,-22.800000000000004
263,230.0,20,-11.400000000000002
264,235.0,20,6.500000000000002
265,229.11488423342757,19,-425.70000000000016
266,235.0,-3,-28.21552812808831
267,239.62024821290964,19,-20.100000000000016
268,227.0,18,-80.39999999999995
269,227.0,-77,-1570.7075236572584
270,227.0,18,-58.34702996765512
271,211.0,18,-16.687130285249694
272,230.0,13,-11.3876429500217
273,230.0,18,-6.800000000000004
274,230.0,20,-5.800000000000004
275,235.0,19,-6.800000000000004
276,222.0,19,-4.800000000000004
277,222.9522203386975,17,-4.800000000000004
278,235.0,20,-4.800000000000004
279,227.0,20,-10.400000000000006
280,222.0,16,-23.000000000000007
281,238.72172342587547,19,-2.6937836776150412
282,235.0,-1,-10.767576787826801
283,225.0,-57,-13.400000000000006
284,243.27886079807536,16,1.0262801957338752
285,235.0,-81,-12.000000000000007
286,235.0,-11,-4.800000000000004
287,227.0,10,-24.275993176288402
288,227.0,14,-139.3485461102872
289,238.57359312880715,20,-10.400000000000006
290,227.0,-66,-17.000000000000007
291,232.0,20,-4.300000000000004
292,227.0,19,-10.029516359544452
293,230.0,19,-8.800000000000004
294,250.46772339190898,13,-9.400000000000006
295,219.0,-68,-13.900000000000006
296,245.0,15,-3.200000000000003
297,230.00307140868006,20,-33.40000000000001
298,229.0829747456027,18,6.500000000000002
299,227.0,13,-248.1545816529511
300,245.0,18,-11.400000000000002
301,230.0,19,-7.200000000000003
302,237.0,14,-25.60000000000001
303,245.23010023369386,15,-32.381756939186964
304,229.0829747456027,20,-237.19999999999987
305,227.0,19,-136.2149634178208
306,225.0,20,-28.700000000000017
307,235.0,20,-276.30000000000047
308,229.39840327800917,19,-2.700000000000003
309,236.89912175730407,18,-3.700000000000003
310,235.0,20,-9.399999999999999
311,222.0,20,-17.000000000000007
312,211.0,20,-7.21022951136457
313,216.0,13,-20.100000000000016
314,235.0,14,-12.978316082916955
315,235.0,15,-9.400000000000006
316,235.0,20,-16.800000000000004
317,245.2620968266859,20,-6.900000000000002
318,240.0,12,-170.67094561946706
319,235.0,-112,-20.10000000000001
320,222.0,17,-3.8000000000000043
321,235.0,12,0.4092720756334671
322,243.9522203386975,19,-1.1000000000000014
323,227.0,20,-25.909015598849372
324,227.0,20,-4.995860172753595
325,237.90801323691116,20,-9.700000000000006
